순위,책이름,저자,출판사,출판일,원가,할인가,리뷰평점
70,총 균 쇠,재레드 다이아몬드,김영사,20230511,29800,26820,9.79
71,포스 윙,레베카 야로스,북폴리오,20240624,26000,23400,9.47
72,행복할 거야 이래도 되나 싶을 정도로,일홍,부크럼,20240729,18000,16200,10
73,백설공주에게 죽음을,넬레 노이하우스,북로드,20240524,17800,16020,10
74,도둑맞은 집중력(아이스 에디션),요한 하리,어크로스,20230428,18800,16920,9.35
75,싯다르타,헤르만 헤세,민음사,20020120,8000,7200,9.67
76,주술회전 26: 남쪽으로,Gege Akutami,서울미디어코믹스(서울문화사),20240620,6000,5400,9.82
77,코스모스,칼 세이건,사이언스북스,20100120,19900,17910,9.71
78,읽으면서 바로 써먹는 어린이 감정 표현,한날,파란정원,20240505,13000,11700,9.85
79,무정형의 삶,김민철,위즈덤하우스,20240710,20000,18000,10
80,해커스 일본어 첫걸음: 기초20일 독학 완성!,해커스 일본어연구소,해커스어학연구소,20220117,13900,12510,9.73
81,채식주의자,한강,창비,20220328,15000,13500,9.44
82,ETS 토익기출 파트별 VOCA,ETS,YBM,20221223,13000,11700,9.91
83,여름을 한 입 베어 물었더니,이꽃님,문학동네,20230818,12500,11250,9.73
84,주택청약의 모든 것(2024~2025),한국부동산원,한빛비즈,20240729,18000,16200,10
85,놓지 마 과학! 19: 라면 먼저? 수프 먼저?,신태훈 외,위즈덤하우스,20240626,14000,12600,9.79
86,일류의 조건,사이토 다카시,필름(Feelm),20240320,19800,17820,9.6
87,니체 인생수업: 니체가 세상에 남긴 66가지 인생지혜,프리드리히 니체,하이스트,20240322,17500,15750,9.93
88,두 사람의 인터내셔널,김기태,문학동네,20240515,16800,15120,9.61
89,원씽(The One Thing)(60만 부 기념 스페셜 에디션),게리 켈러 외,비즈니스북스,20130830,16800,15120,9.67
90,사피엔스,유발 하라리,김영사,20230401,26800,24120,9.61
91,토익 단기공략 750+(LC+RC),ETS,YBM,20200820,18000,16200,9.76
92,"신독, 혼자 있는 시간의 힘",조윤제,비즈니스북스,20240719,17800,16020,10
93,소맥거핀 일상 만화 1,소맥거핀,위즈덤하우스,20240731,14000,12600,10
94,원피스 108: 죽는 편이 나은 세계,EIICHIRO ODA,대원씨아이,20240531,5500,4950,9.79
95,술술 읽히는 군주론,니콜로 마키아벨리,힘찬북스,20240808,16800,15120,9.58
96,데미안,헤르만 헤세,민음사,20090120,8000,7200,9.58
97,해커스 토익 RC Reading(리딩) 기본서,David Cho,해커스어학연구소,20230724,18800,16920,9.78
