행정구역(시군구)별(1),행정구역(시군구)별(2),총인구수 (명),남자인구수 (명),여자인구수 (명)
경기도,　　　기흥구,"437,146","215,981","221,165"
경기도,　　　수지구,"370,398","180,810","189,588"
경기도,　　　파주시,"453,961","230,458","223,503"
경기도,　　　이천시,"215,885","111,284","104,601"
경기도,　　　안성시,"183,369","94,249","89,120"
경기도,　　　김포시,"437,789","219,805","217,984"
경기도,　　　화성시,"818,760","424,061","394,699"
경기도,　　　광주시,"373,274","191,127","182,147"
경기도,　　　양주시,"222,275","112,770","109,505"
경기도,　　　포천시,"148,137","78,129","70,008"
경기도,　　　여주시,"111,017","56,388","54,629"
경기도,　　　연천군,"43,741","22,948","20,793"
경기도,　　　가평군,"62,303","31,986","30,317"
경기도,　　　양평군,"116,910","58,654","58,256"
강원도,소계,"1,540,540","774,866","765,674"
강원도,　　　춘천시,"281,468","138,806","142,662"
강원도,　　　원주시,"350,202","173,891","176,311"
강원도,　　　강릉시,"213,328","105,775","107,553"
강원도,　　　동해시,"90,417","45,782","44,635"
강원도,　　　태백시,"43,681","22,056","21,625"
강원도,　　　속초시,"81,840","40,470","41,370"
강원도,　　　삼척시,"66,806","33,811","32,995"
강원도,　　　홍천군,"68,933","35,249","33,684"
강원도,　　　횡성군,"46,377","23,687","22,690"
강원도,　　　영월군,"39,040","20,154","18,886"
강원도,　　　평창군,"42,014","21,541","20,473"
강원도,　　　정선군,"37,194","19,320","17,874"
강원도,　　　철원군,"45,467","23,733","21,734"
강원도,　　　화천군,"24,806","13,426","11,380"
강원도,　　　양구군,"22,526","11,937","10,589"
강원도,　　　인제군,"31,567","17,086","14,481"
강원도,　　　고성군,"27,165","14,051","13,114"
강원도,　　　양양군,"27,709","14,091","13,618"
충청북도,소계,"1,599,391","810,129","789,262"
충청북도,　　　청주시,"840,047","423,099","416,948"
충청북도,　　　서원구,"202,513","100,492","102,021"
충청북도,　　　청원구,"195,404","100,038","95,366"
충청북도,　　　상당구,"179,626","89,423","90,203"
충청북도,　　　흥덕구,"262,504","133,146","129,358"
충청북도,　　　충주시,"210,806","106,633","104,173"
충청북도,　　　제천시,"134,359","67,326","67,033"
충청북도,　　　보은군,"32,899","16,535","16,364"
충청북도,　　　옥천군,"50,987","25,693","25,294"
충청북도,　　　영동군,"48,523","24,060","24,463"
충청북도,　　　증평군,"37,424","19,376","18,048"
충청북도,　　　진천군,"81,225","42,476","38,749"
충청북도,　　　괴산군,"38,451","19,640","18,811"
충청북도,　　　음성군,"95,006","50,268","44,738"
충청북도,　　　단양군,"29,664","15,023","14,641"
충청남도,소계,"2,122,455","1,081,552","1,040,903"
충청남도,　　　당진시,"166,815","88,199","78,616"
